CustomerID,FullName,Gender,City,JoinDate
C0446,Latifa Al-Anzi,Female,Hail,2024-01-27
C0447,Noura Al-Mutairi,Female,Taif,2024-06-22
C0448,Noura Al-Maliki,Female,Tabuk,2022-07-10
C0449,Amal Al-Qahtani,Female,Riyadh,2022-11-02
C0450,Khalid Al-Balawi,Male,Makkah,2023-04-11
C0451,Haya Al-Shehri,Female,Dammam,2024-05-21
C0452,Bader Al-Subaie,Male,Jeddah,2022-12-05
C0453,Hamad Al-Zahrani,Male,Dammam,2022-01-15
C0454,Amal Al-Subaie,Female,Dammam,2023-09-18
C0455,Moudi Al-Khaldi,Female,Hail,2022-12-02
C0456,Khalid Al-Mutairi,Male,Dammam,2023-05-04
C0457,Nasser Al-Otaibi,Male,Makkah,2023-01-28
C0458,Bader Al-Balawi,Male,Makkah,2023-08-20
C0459,Fatima Al-Zahrani,Female,Madinah,2023-12-11
C0460,Khalid Al-Omari,Male,Makkah,2022-06-13
C0461,Nawaf Al-Ghamdi,Male,Jeddah,2023-10-17
C0462,Amal Al-Rashidi,Female,Buraidah,2022-08-15
C0463,Saad Al-Shehri,Male,Dammam,2023-04-11
C0464,Jawaher Al-Rashidi,Female,Taif,2023-12-20
C0465,Majed Al-Subaie,Male,Abha,2023-11-28
C0466,Mariam Al-Omari,Female,Hail,2023-12-22
C0467,Ziyad Al-Dosari,Male,Riyadh,2024-04-28
C0468,Nawaf Al-Subaie,Male,Buraidah,2023-07-04
C0469,Yousef Al-Omari,Male,Jeddah,2023-11-28
C0470,Ziyad Al-Shehri,Male,Jeddah,2024-07-09
C0471,Ahmed Al-Omari,Male,Dammam,2023-06-10
C0472,Ziyad Al-Qahtani,Male,Hail,2023-04-19
C0473,Amal Al-Otaibi,Female,Taif,2022-09-18
C0474,Lama Al-Shamri,Female,Riyadh,2023-03-10
C0475,Abdullah Al-Qahtani,Male,Jeddah,2024-08-14
C0476,Turki Al-Khaldi,Male,Dammam,2024-02-27
C0477,Ali Al-Rashidi,Male,Taif,2023-04-05
C0478,Moudi Al-Maliki,Female,Jeddah,2023-12-01
C0479,Haya Al-Harbi,Female,Madinah,2022-05-02
C0480,Waleed Al-Maliki,Male,Hail,2022-05-11
C0481,Dana Al-Otaibi,Female,Riyadh,2022-11-02
C0482,Waleed Al-Khaldi,Male,Hail,2023-01-24
C0483,Dana Al-Omari,Female,Madinah,2022-06-08
C0484,Khalid Al-Qahtani,Male,Taif,2023-09-22
C0485,Fatima Al-Anzi,Female,Abha,2022-03-10
C0486,Ahmed Al-Omari,Male,Buraidah,2023-11-20
C0487,Noura Al-Anzi,Female,Riyadh,2023-02-16
C0488,Waleed Al-Subaie,Male,Riyadh,2022-05-24
C0489,Turki Al-Anzi,Male,Buraidah,2022-11-23
C0490,Yousef Al-Anzi,Male,Makkah,2024-06-16
C0491,Nawaf Al-Anzi,Male,Taif,2022-11-04
C0492,Waleed Al-Mutairi,Male,Taif,2023-07-24
C0493,Ibrahim Al-Maliki,Male,Hail,2022-11-23
C0494,Anoud Al-Harbi,Female,Makkah,2023-01-21
C0495,Waleed Al-Shehri,Male,Abha,2024-05-19
C0496,Saad Al-Omari,Male,Riyadh,2023-07-30
C0497,Ali Al-Harbi,Male,Taif,2022-09-06
C0498,Yousef Al-Shamri,Male,Tabuk,2024-05-17
C0499,Waleed Al-Subaie,Male,Riyadh,2022-10-02
C0500,Faisal Al-Qahtani,Male,Jeddah,2022-07-12
